年,総数,中国,香港,台湾,韓国,フィリピン,タイ,シンガポール,マレーシア,インドネシア,インド,ベトナム,英国,ドイツ,フランス,ロシア,イタリア,米国,カナダ,豪州
2003,5211725,448782,260214,785379,1459333,137584,80022,76896,65369,64637,47520,17094,200543,93571,85179,44512,35826,655821,126065,172134
2004,6137905,616009,300246,1080590,1588472,154588,104864,90001,72445,55259,53000,19056,215704,106297,95894,56554,38923,759753,142091,194276
2005,6727926,652820,298810,1274612,1747171,139572,120238,94161,78173,58974,58572,22138,221535,118429,110822,63609,44691,822033,150012,206179
2006,7334077,811675,352265,1309121,2117325,125704,115870,95530,85627,62505,59911,25637,216476,117785,115337,60654,46407,816727,157438,195094
2007,8346969,942439,432042,1385255,2600694,167481,151860,100890,89532,67583,64178,31909,221945,137787,125193,64244,54022,815882,165993,222518
2008,8350835,1000416,550190,1390228,2382397,191881,167894,105663,82177,67323,66593,34794,206564,147580,126207,66270,56243,768345,168307,242031
2009,6789658,1006085,449568,1024292,1586772,177541,145224,89509,71485,63617,58918,34221,181460,141251,110692,46952,59607,699919,152756,211659
2010,8611175,1268278,508691,1412875,2439816,214881,180960,114519,80632,77377,66819,41862,184045,151011,124360,51457,62394,727234,153303,225751
2011,6218752,993974,364865,1043246,1658073,144969,111354,81516,63099,61911,59354,41048,140099,95438,80772,33793,34035,565887,101299,162578
2012,8358105,1465753,481665,1425100,2042775,260640,142201,130183,101460,85037,68914,55156,173994,130412,108898,50176,51801,716709,135355,206404
2013,10363904,2210821,745881,1314437,2456165,453642,189280,176521,136797,108351,84469,75095,191798,154892,121776,60502,67228,799280,152766,244569
2014,13413467,2829821,925975,2409158,2755313,657570,227962,249521,158739,184204,124266,87967,220060,178570,140254,64077,80531,891668,182865,302656
2015,19737429,3677065,1524291,4993805,4002094,796708,308777,305502,205074,268339,185359,103092,258501,214296,162584,54359,103183,1033239,231423,376153
2016,24039005,6372986,1839216,4167468,5090326,347842,901453,361836,394265,270953,122995,233813,292456,183274,253446,54810,119248,1242666,273169,445213
2017,28691073,7355818,2231568,4564053,7140165,424121,987211,404132,439548,352330,134371,308898,310499,195606,268605,77251,125864,1374964,305591,495054
2018,31191929,8380096,2207866,4757263,7538973,504045,1132145,437323,468314,396876,154092,389063,333974,215326,304910,94845,149997,1526451,330530,552392
